title,cue,file_count,scanned_files,scanned_bytes,store_count,mode_values,baud_values,ctrl_values,multipliers,nominal_periods,fixed2x_periods,pair_count,notes
"Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It)","Z:\Games\MiSTer\games\PSX\_Link_\Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It)\Monaco Grand Prix Racing Simulation 2 (Europe) (En,Fr,Es,It).cue",57,1,104448,0,,,,,,,0,
Motor Toon Grand Prix (USA),Z:\Games\MiSTer\games\PSX\_Link_\Motor Toon Grand Prix (USA)\Motor Toon Grand Prix (USA).cue,54,4,1777664,142,"0x0000,0x00ce","0x0000,0x00d8","0x0000,0x0010,0x0050,0x0100",16,3456,6912,6,
Motor Toon Grand Prix - USA Edition (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Motor Toon Grand Prix - USA Edition (Japan)\Motor Toon Grand Prix - USA Edition (Japan).cue,56,5,1841152,142,"0x0000,0x00ce","0x0000,0x00d8","0x0000,0x0010,0x0050,0x0100",16,3456,6912,6,
Motor Toon Grand Prix 2 (Europe),Z:\Games\MiSTer\games\PSX\_Link_\Motor Toon Grand Prix 2 (Europe)\Motor Toon Grand Prix 2 (Europe).cue,55,4,1312768,106,"0x0000,0x00ce","0x0000,0x00d8","0x0000,0x0010,0x0050,0x0100",16,3456,6912,5,
Over Drivin' DX (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Over Drivin' DX (Japan)\Over Drivin' DX (Japan).cue,786,1,839680,35,0x00ce,0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
PrePre Vol. 2 (Japan),Z:\Games\MiSTer\games\PSX\_Link_\PrePre Vol. 2 (Japan)\PrePre Vol. 2 (Japan).cue,462,11,4212736,35,0x00ce,0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
Pro Pinball - Big Race USA (USA),Z:\Games\MiSTer\games\PSX\_Link_\Pro Pinball - Big Race USA (USA)\Pro Pinball - Big Race USA (USA).cue,478,1,522240,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
R4 - Ridge Racer Type 4 (USA),Z:\Games\MiSTer\games\PSX\_Link_\R4 - Ridge Racer Type 4 (USA)\R4 - Ridge Racer Type 4 (USA).cue,5,1,641024,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Racingroovy VS (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Racingroovy VS (Japan)\Racingroovy VS (Japan).cue,36,1,583680,34,"0x0003,0x00ce","0x0003,0x00d8","0x0003,0x0010,0x0050,0x0300,0x0b26,0x1b27","16,64","48,192,3456","96,384,6912",3,
Real Robots - Final Attack (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Real Robots - Final Attack (Japan)\Real Robots - Final Attack (Japan).cue,817,1,1433600,39,"0x00ce,0x1050","0x0000,0x00d8","0x0001,0x0005,0x0050",16,3456,6912,2,
Red Asphalt (USA),Z:\Games\MiSTer\games\PSX\_Link_\Red Asphalt (USA)\Red Asphalt (USA).cue,518,1,282624,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Ridge Racer Revolution (USA),Z:\Games\MiSTer\games\PSX\_Link_\Ridge Racer Revolution (USA)\Ridge Racer Revolution (USA).cue,43,2,598016,8,0x009e,0x0000,0x0050,16,,,1,
Road & Track Presents - The Need for Speed (USA),Z:\Games\MiSTer\games\PSX\_Link_\Road & Track Presents - The Need for Speed (USA)\Road & Track Presents - The Need for Speed (USA).cue,785,1,839680,35,0x00ce,0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
Robo Pit (USA),Z:\Games\MiSTer\games\PSX\_Link_\Robo Pit (USA)\Robo Pit (USA).cue,62,1,624640,0,,,,,,,0,
Rock & Roll Racing 2 - Red Asphalt (Europe),Z:\Games\MiSTer\games\PSX\_Link_\Rock & Roll Racing 2 - Red Asphalt (Europe)\Rock & Roll Racing 2 - Red Asphalt (Europe).cue,518,1,282624,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Rogue Trip - Vacation 2012 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Rogue Trip - Vacation 2012 (USA)\Rogue Trip - Vacation 2012 (USA).cue,247,1,870400,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
"San Francisco Rush - Extreme Racing (Europe) (En,Fr,De,Es,It)","Z:\Games\MiSTer\games\PSX\_Link_\San Francisco Rush - Extreme Racing (Europe) (En,Fr,De,Es,It)\San Francisco Rush - Extreme Racing (Europe) (En,Fr,De,Es,It).cue",531,6,3500032,195,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,5,
San Francisco Rush - Extreme Racing (USA),Z:\Games\MiSTer\games\PSX\_Link_\San Francisco Rush - Extreme Racing (USA)\San Francisco Rush - Extreme Racing (USA).cue,380,2,774144,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Shutokou Battle R (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Shutokou Battle R (Japan)\Shutokou Battle R (Japan).cue,179,1,311296,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Sidewinder (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Sidewinder (Japan)\Sidewinder (Japan).cue,159,1,522240,36,"0x00ce,0x00ff","0x00d8,0x00ff","0x0000,0x0010,0x0050,0x00ff,0x0826,0x1827","16,64","3456,4080,16320","6912,8160,32640",3,
Sidewinder USA (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Sidewinder USA (Japan)\Sidewinder USA (Japan).cue,185,1,573440,32,"0x0000,0x00ce,0x00dc","0x0000,0x00d8,0x00dc","0x0000,0x0010,0x0050,0x00dc,0x0100",16,3456,6912,4,
Soukou Kihei Votoms Gaiden - Ao no Kishi Berserga Monogatari (Japan) (Limited Edition),Z:\Games\MiSTer\games\PSX\_Link_\Soukou Kihei Votoms Gaiden - Ao no Kishi Berserga Monogatari (Japan) (Limited Edition)\Soukou Kihei Votoms Gaiden - Ao no Kishi Berserga Monogatari (Japan) (Limited Edition).cue,516,1,1929216,39,"0x00ce,0x1050","0x0000,0x00d8","0x0001,0x0005,0x0050",16,3456,6912,2,
Streak Hoverboard Racing (USA),Z:\Games\MiSTer\games\PSX\_Link_\Streak Hoverboard Racing (USA)\Streak Hoverboard Racing (USA).cue,208,1,757760,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Test Drive 4 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Test Drive 4 (USA)\Test Drive 4 (USA).cue,6,2,522240,15,0x00fe,,"0x0000,0x0050,0x0a27",,,,0,
Test Drive Off-Road (USA),Z:\Games\MiSTer\games\PSX\_Link_\Test Drive Off-Road (USA)\Test Drive Off-Road (USA).cue,207,1,663552,32,"0x0000,0x00ce,0x00dc","0x0000,0x00d8,0x00dc","0x0000,0x0010,0x0050,0x00dc,0x0100",16,3456,6912,4,
"TOCA 2 - Touring Car Challenge (USA) (En,Fr,Es)","Z:\Games\MiSTer\games\PSX\_Link_\TOCA 2 - Touring Car Challenge (USA) (En,Fr,Es)\TOCA 2 - Touring Car Challenge (USA) (En,Fr,Es).cue",478,5,2846720,195,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,5,
"TOCA 2 Touring Cars (Europe) (En,Fr,De) (Rev 1)","Z:\Games\MiSTer\games\PSX\_Link_\TOCA 2 Touring Cars (Europe) (En,Fr,De) (Rev 1)\TOCA 2 Touring Cars (Europe) (En,Fr,De) (Rev 1).cue",481,5,2877440,195,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,5,
"Total Drivin (Europe) (En,Fr,De,Es,It,Pt)","Z:\Games\MiSTer\games\PSX\_Link_\Total Drivin (Europe) (En,Fr,De,Es,It,Pt)\Total Drivin (Europe) (En,Fr,De,Es,It,Pt).cue",21,1,131072,39,"0x00ce,0x1050","0x0000,0x00d8","0x0001,0x0005,0x0050",16,3456,6912,2,
Trick'n Snowboarder (USA),Z:\Games\MiSTer\games\PSX\_Link_\Trick'n Snowboarder (USA)\Trick'n Snowboarder (USA).cue,7,1,636928,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Tricky Sliders - Freestyle Snowboard (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Tricky Sliders - Freestyle Snowboard (Japan)\Tricky Sliders - Freestyle Snowboard (Japan).cue,7,1,643072,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Twisted Metal III (USA) (Rev 1),Z:\Games\MiSTer\games\PSX\_Link_\Twisted Metal III (USA) (Rev 1)\Twisted Metal III (USA) (Rev 1).cue,92,1,655360,40,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Wing Over (Europe),Z:\Games\MiSTer\games\PSX\_Link_\Wing Over (Europe)\Wing Over (Europe).cue,99,1,575488,33,0x00ce,,"0x0000,0x0050",,,,0,
WipEout (USA),Z:\Games\MiSTer\games\PSX\_Link_\WipEout (USA)\WipEout (USA).cue,517,2,643072,37,0x00ce,0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
WipEout 2097 (Europe),Z:\Games\MiSTer\games\PSX\_Link_\WipEout 2097 (Europe)\WipEout 2097 (Europe).cue,447,11,1224927,39,"0x0000,0x00ce",0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
WipEout 3 (USA),Z:\Games\MiSTer\games\PSX\_Link_\WipEout 3 (USA)\WipEout 3 (USA).cue,43,1,1478656,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
"WipEout 3 - Special Edition (Europe) (En,Fr,De,Es,It)","Z:\Games\MiSTer\games\PSX\_Link_\WipEout 3 - Special Edition (Europe) (En,Fr,De,Es,It)\WipEout 3 - Special Edition (Europe) (En,Fr,De,Es,It).cue",109,1,1492992,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Wipeout XL (USA),Z:\Games\MiSTer\games\PSX\_Link_\Wipeout XL (USA)\Wipeout XL (USA).cue,447,11,1222879,39,"0x0000,0x00ce",0x00d8,"0x0010,0x0050,0x0100",16,3456,6912,1,
X.Racing (Japan),Z:\Games\MiSTer\games\PSX\_Link_\X.Racing (Japan)\X.Racing (Japan).cue,48,1,409600,32,"0x0000,0x00ce,0x00dc","0x0000,0x00d8,0x00dc","0x0000,0x0010,0x0050,0x00dc,0x0100",16,3456,6912,4,
